energy,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_m,loudness,valence,Genre
Medium-Low,Moderato,Medium-Low,Medium-High,Low,4,Medium,SI Minor,[3 - 4.99],[0 - 19.99],Medium,Blues
Medium-Low,Andante,Low,Low,Medium,4,High,MI Major,[5 - 9.99],[0 - 19.99],Medium,Blues
Medium,Andante,Low,Low,Low,4,Medium,MI Minor,[3 - 4.99],[0 - 19.99],Medium-Low,Rap
Low,Moderato,Low,High,Low,4,Low,SOL Minor,[5 - 9.99],[20 - 39.99],Low,Country
Medium-High,Andante,Low,Medium-Low,Low,4,Medium,MI Minor,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
High,Andante,Low,Low,Low,4,High,RE Major,[3 - 4.99],[0 - 19.99],Medium-High,R&B
Medium-High,Moderato,Low,Low,Low,4,Medium,FA Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
High,Andante,Low,Low,Low,4,Low,MI Minor,[1 - 2.99],[0 - 19.99],Medium-Low,Blues
Medium-High,Moderato,Low,Low,Medium-High,5,Low,SOL Major,[3 - 4.99],[0 - 19.99],Low,Rap
Medium-Low,Presto,Low,Medium,Medium-High,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium,Andante,Medium-Low,Low,Low,4,High,MI Minor,[3 - 4.99],[0 - 19.99],Medium,Rap
Medium-Low,Moderato,Low,Medium-High,Low,4,Medium,RE Minor,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium-Low,Moderato,Low,Medium-High,High,4,Medium,RE Minor,[1 - 2.99],[0 - 19.99],Low,Pop/Rock
Medium-Low,Moderato,Low,High,Low,4,Medium,LA Minor,[1 - 2.99],[0 - 19.99],Medium,Pop/Rock
Medium-High,Vivace,Low,Low,Low,4,Low,SOL Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Low,Moderato,Low,High,Low,4,High,SOL Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-Low,Moderato,Low,Medium-High,Low,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],Medium-Low,Jazz
Medium,Andante,Low,Low,Low,4,Low,FA Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium,Andante,Low,Medium-High,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Low,Pop/Rock
Medium,Andante,Low,Low,Low,4,High,RE Minor,[3 - 4.99],[0 - 19.99],Medium,Blues
Medium-Low,Andante,Low,High,Low,4,Medium,SOL Major,[1 - 2.99],[0 - 19.99],Medium,Blues
High,Andante,Low,Low,Low,4,Medium,DO Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
High,Moderato,Low,Medium,Low,4,High,LA Minor,[1 - 2.99],[0 - 19.99],High,Pop/Rock
Medium,Andante,Low,Medium,Low,4,High,DO Major,[1 - 2.99],[0 - 19.99],Medium,Pop/Rock
Medium-Low,Moderato,Low,High,Medium,4,Medium,SOL Minor,[5 - 9.99],[0 - 19.99],Medium-High,Blues
Medium-High,Moderato,Low,Low,High,4,High,SI Minor,[3 - 4.99],[0 - 19.99],Medium,Blues
Medium-Low,Andante,Low,High,Low,4,Medium,DO Major,[1 - 2.99],[0 - 19.99],Medium-Low,Country
Low,Andante,Low,Medium-High,Medium-High,4,Medium,LA Major,>10,[20 - 39.99],Low,Jazz
High,Moderato,Low,Low,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium-High,Andante,Low,Low,Low,4,Medium,DO Major,[5 - 9.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Andante,Low,Low,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
High,Moderato,Medium-Low,Low,Medium-High,4,High,SOL Major,[5 - 9.99],[0 - 19.99],Medium-Low,Rap
Medium,Vivace,Low,High,Low,4,Medium,DO Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
High,Moderato,Low,Low,High,4,High,MI Minor,[3 - 4.99],[0 - 19.99],Medium,International
High,Moderato,Low,Low,Low,4,Medium,DO Minor,[3 - 4.99],[0 - 19.99],High,Pop/Rock
High,Andante,Low,Low,Low,4,Medium,SI Minor,[5 - 9.99],[0 - 19.99],High,Pop/Rock
Medium,Andante,Low,Medium-High,Medium-Low,4,High,DO Minor,[1 - 2.99],[0 - 19.99],Medium-High,Jazz
Medium-Low,Moderato,Low,Medium-High,Low,4,High,SOL Major,[3 - 4.99],[0 - 19.99],Medium,Country
Medium-Low,Vivace,Low,High,Low,4,Medium,RE Major,[1 - 2.99],[0 - 19.99],Medium-High,Blues
High,Moderato,Low,Medium-Low,Low,4,Medium,DO Major,[5 - 9.99],[0 - 19.99],Medium-High,Pop/Rock
High,Andante,Low,Low,Low,4,Low,SI Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium,Moderato,Low,Low,Low,4,High,SOL Major,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Medium-High,Andante,Low,Medium-High,Low,4,Medium,LA Minor,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Medium,Andante,Low,Medium,High,4,Medium,DO Major,[1 - 2.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium,Andante,Low,High,Medium,4,Medium,RE Major,[1 - 2.99],[0 - 19.99],High,Blues
Medium-Low,Presto,Medium-High,Medium-High,Low,5,Medium,FA Major,[1 - 2.99],[0 - 19.99],Medium,Blues
High,Moderato,Medium-Low,Medium-High,Low,4,Medium,FA Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium,Andante,Low,Medium,Low,4,Medium,FA Major,[1 - 2.99],[0 - 19.99],High,Jazz
Medium-High,Andante,Low,Low,Low,4,High,DO Major,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Medium-High,Andante,Low,Medium,Low,4,Medium,LA Major,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Medium-Low,Vivace,Low,High,Medium-Low,3,Low,SOL Major,[3 - 4.99],[0 - 19.99],Low,Pop/Rock
Medium-Low,Andante,Low,High,Low,4,Medium,LA Major,[1 - 2.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Moderato,High,Medium-High,Low,3,Medium,FA Minor,[1 - 2.99],[0 - 19.99],Medium-High,R&B
Medium,Andante,Low,Low,Low,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
High,Moderato,Low,Medium,Low,4,Medium,FA Major,[1 - 2.99],[0 - 19.99],High,Pop/Rock
High,Moderato,Low,Low,Low,4,Medium,LA Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium,Moderato,Low,Medium,Low,3,High,RE Major,[3 - 4.99],[0 - 19.99],High,Pop/Rock
High,Moderato,Low,Low,High,4,High,DO Major,[5 - 9.99],[0 - 19.99],Medium,Blues
Medium-High,Moderato,Low,Low,High,4,High,LA Minor,[5 - 9.99],[0 - 19.99],Medium,Pop/Rock
Medium,Moderato,Low,Medium-High,Low,4,Medium,LA Major,[1 - 2.99],[0 - 19.99],Medium,Rap
Medium-High,Andante,Low,Medium-Low,Medium-High,4,Low,RE Major,[1 - 2.99],[0 - 19.99],Medium-Low,Electronic
High,Andante,Medium,Low,Low,4,Medium,MI Minor,>10,[0 - 19.99],Low,Rap
Medium-Low,Andante,High,Medium,Low,5,Medium,RE Major,>10,[0 - 19.99],Medium,Pop/Rock
High,Moderato,Low,Low,Low,4,Medium,MI Major,[1 - 2.99],[0 - 19.99],High,Pop/Rock
Medium,Andante,Low,High,Low,1,Medium,SOL Major,[1 - 2.99],[0 - 19.99],Medium,Country
Medium,Andante,Low,Low,Low,4,Medium,LA Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium-Low,Andante,Low,High,Low,4,Medium,DO Major,[1 - 2.99],[0 - 19.99],Medium-Low,Blues
High,Moderato,Medium-Low,Low,Low,4,High,MI Major,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Medium,Moderato,Low,Low,Low,4,High,SI Minor,[3 - 4.99],[0 - 19.99],Medium,Electronic
Medium-High,Moderato,Low,Medium,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-Low,Presto,Low,Low,High,3,Medium,MI Minor,[1 - 2.99],[0 - 19.99],High,Blues
High,Moderato,Low,Medium,Low,4,Medium,LA Major,[3 - 4.99],[0 - 19.99],High,Blues
Medium-High,Moderato,Low,Low,Medium-Low,4,Medium,SOL Minor,[3 - 4.99],[0 - 19.99],Medium-High,Blues
Medium-Low,Andante,Low,Medium-High,Low,4,Medium,MI Minor,[1 - 2.99],[0 - 19.99],Medium-High,Blues
Low,Moderato,Low,Medium-High,High,4,Medium,DO Major,[1 - 2.99],[20 - 39.99],Medium-Low,R&B
Medium-High,Moderato,Low,Low,Medium,4,High,FA Minor,[5 - 9.99],[0 - 19.99],Medium,Pop/Rock
Medium-High,Moderato,Low,Medium-Low,Low,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
High,Moderato,Low,Low,Low,4,Medium,MI Major,[3 - 4.99],[0 - 19.99],Medium-High,R&B
High,Moderato,Low,Low,Low,4,Medium,SI Minor,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Medium-High,Andante,Low,Low,Low,4,Medium,MI Minor,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium,Andante,Low,Medium-High,Low,4,Medium,RE Minor,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
High,Moderato,Low,Medium,Low,4,Medium,LA Major,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Medium-Low,Moderato,Low,Medium,High,4,High,LA Minor,[3 - 4.99],[20 - 39.99],High,Pop/Rock
High,Vivace,Low,Low,Medium-Low,4,Low,RE Major,[5 - 9.99],[0 - 19.99],Low,Pop/Rock
Medium-High,Vivace,Low,Low,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Low,Andante,Low,High,Low,3,Low,FA Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium,Moderato,Low,Medium-High,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Medium-Low,Country
Medium-High,Vivace,Low,High,Low,4,Medium,LA Major,[1 - 2.99],[0 - 19.99],High,Blues
Medium,Moderato,Low,Low,High,4,High,DO Major,[5 - 9.99],[0 - 19.99],Low,Pop/Rock
Low,Moderato,Low,High,Medium-High,4,Low,FA Major,[3 - 4.99],[0 - 19.99],Low,Pop/Rock
High,Moderato,Medium,Low,Low,4,Medium,FA Major,[3 - 4.99],[0 - 19.99],Low,Pop/Rock
Medium,Moderato,Low,Medium-Low,Low,4,Medium,SOL Major,[1 - 2.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium,Moderato,Low,Medium,Low,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-High,Presto,Low,Medium,Low,4,Medium,DO Major,[1 - 2.99],[0 - 19.99],High,Pop/Rock
Medium-Low,Andante,Low,High,High,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],High,Blues
Low,Moderato,Low,High,High,3,Medium,RE Major,[5 - 9.99],[20 - 39.99],Medium-Low,Jazz
Medium-Low,Vivace,Low,Medium,Low,4,High,FA Minor,[5 - 9.99],[0 - 19.99],Medium-High,Blues
Medium,Moderato,Low,Medium,High,4,High,DO Major,>10,[0 - 19.99],High,Jazz
Medium,Vivace,Low,Low,Medium-High,4,High,LA Major,[3 - 4.99],[0 - 19.99],High,Rap
Medium,Andante,Low,Medium-Low,Low,3,Medium,DO Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-Low,Andante,Low,High,Low,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],Medium-Low,Jazz
High,Andante,Low,Low,Medium-High,4,Medium,MI Minor,[5 - 9.99],[0 - 19.99],Medium-Low,Blues
High,Vivace,Low,Low,Low,4,Medium,LA Minor,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium,Moderato,Medium-Low,Low,Low,4,Medium,RE Major,[5 - 9.99],[0 - 19.99],High,Pop/Rock
Medium-High,Moderato,Low,Medium-Low,Low,4,Low,MI Major,[5 - 9.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-High,Moderato,Low,Low,Low,4,Medium,DO Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
High,Vivace,Low,Medium-Low,Low,4,High,FA Minor,[5 - 9.99],[0 - 19.99],Medium-High,Reggae
Medium,Moderato,Low,Medium-Low,Low,4,Medium,SOL Major,[1 - 2.99],[0 - 19.99],Medium-Low,Jazz
Medium-High,Moderato,Low,Low,High,4,Medium,FA Minor,[5 - 9.99],[0 - 19.99],Medium-High,Rap
High,Andante,Low,Medium,Low,4,Medium,FA Major,[5 - 9.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-Low,Andante,Low,High,High,4,Medium,FA Major,[3 - 4.99],[0 - 19.99],Low,Rap
High,Andante,Low,Medium,Low,4,High,DO Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-Low,Andante,Low,Medium,Low,1,High,SOL Major,[5 - 9.99],[0 - 19.99],Medium-High,Pop/Rock
High,Moderato,Low,Low,Low,4,High,LA Minor,[3 - 4.99],[0 - 19.99],High,Country
Medium-Low,Moderato,Low,Medium-High,Low,4,Medium,DO Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Low,Moderato,Low,High,High,4,High,LA Minor,[3 - 4.99],[0 - 19.99],Medium-High,Blues
Medium-High,Moderato,Low,Medium-Low,Low,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-Low,Moderato,Low,Medium-High,Low,4,Low,DO Major,[3 - 4.99],[0 - 19.99],Medium-Low,Country
Medium-Low,Andante,Low,Medium-High,Low,3,Medium,SI Major,[5 - 9.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-Low,Moderato,Low,Medium-High,Low,4,High,FA Minor,[3 - 4.99],[0 - 19.99],Medium,Jazz
Medium-Low,Andante,High,High,Low,1,High,LA Major,<1,[0 - 19.99],High,Rap
High,Moderato,Low,Medium,Low,4,Medium,LA Major,[1 - 2.99],[0 - 19.99],Medium-High,Pop/Rock
Medium,Moderato,Low,Low,Low,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-High,Moderato,Low,Low,High,4,High,DO Major,[5 - 9.99],[0 - 19.99],High,Electronic
High,Moderato,Low,Low,High,4,Low,RE Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
High,Moderato,Low,Low,High,4,Medium,LA Major,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Medium-High,Vivace,Medium,Low,Low,4,Medium,RE Major,[1 - 2.99],[0 - 19.99],High,Rap
High,Moderato,Low,Low,High,4,Low,RE Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-High,Andante,Low,Low,Medium-Low,4,High,DO Major,[5 - 9.99],[0 - 19.99],Medium,Reggae
High,Moderato,Low,Low,High,4,High,FA Minor,[5 - 9.99],[0 - 19.99],High,Pop/Rock
Medium-High,Moderato,Low,Medium-High,Low,4,Medium,FA Minor,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
High,Moderato,Low,Low,High,4,High,RE Major,[5 - 9.99],[0 - 19.99],Medium-High,Electronic
Medium-High,Vivace,Low,Low,Low,4,Low,SOL Major,[5 - 9.99],[0 - 19.99],Medium-High,Pop/Rock
High,Moderato,Low,Medium-High,Low,4,Medium,FA Major,[3 - 4.99],[0 - 19.99],High,Blues
Medium-Low,Moderato,Low,Medium-High,Low,4,Medium,SI Minor,[3 - 4.99],[0 - 19.99],Low,Pop/Rock
Low,Andante,Low,High,High,4,Medium,LA Minor,[5 - 9.99],[20 - 39.99],Low,Jazz
Medium-Low,Andante,Medium-High,High,Low,1,Medium,DO Minor,<1,[0 - 19.99],Medium,Pop/Rock
Low,Andante,Low,High,High,4,Medium,RE Minor,[3 - 4.99],[0 - 19.99],Medium-Low,Jazz
Medium,Andante,Low,Medium-High,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium,Andante,Low,Medium-Low,Medium-High,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium,Moderato,Low,Low,High,4,Low,RE Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium,Vivace,Low,High,High,4,Medium,SI Minor,[1 - 2.99],[0 - 19.99],Medium-High,Pop/Rock
High,Moderato,Low,Low,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Medium-High,R&B
Medium,Andante,Low,Medium-High,Low,4,Medium,SI Major,[1 - 2.99],[0 - 19.99],Medium,Pop/Rock
Medium-Low,Moderato,Low,High,High,4,High,SI Minor,[3 - 4.99],[0 - 19.99],High,Blues
Medium,Andante,Low,Medium-High,Low,4,Medium,FA Minor,[5 - 9.99],[0 - 19.99],Medium-High,Blues
Medium,Lento,Medium,Medium-High,Low,3,High,FA Minor,[1 - 2.99],[0 - 19.99],High,Pop/Rock
High,Moderato,Low,Low,Low,4,High,SOL Major,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Medium,Presto,Low,Low,Low,4,Medium,LA Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium,Andante,Low,Medium-Low,Low,4,Medium,MI Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Vivace,Low,Low,Low,4,Medium,DO Major,[1 - 2.99],[0 - 19.99],High,Pop/Rock
Medium-High,Andante,Low,Low,Low,4,Low,FA Minor,>10,[0 - 19.99],Medium-Low,Pop/Rock
Medium-Low,Moderato,Low,High,High,4,Low,RE Major,[3 - 4.99],[0 - 19.99],Medium-Low,Country
Medium-Low,Andante,Medium-High,High,Low,1,Medium,DO Minor,<1,[0 - 19.99],Medium,Pop/Rock
Medium-High,Moderato,Low,Low,Low,4,Medium,MI Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Andante,Low,Medium-Low,Medium,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],High,Blues
Medium-Low,Andante,Low,High,Low,4,Medium,RE Minor,[5 - 9.99],[0 - 19.99],Medium,Blues
Medium,Presto,Low,Medium-Low,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],High,Country
Medium-High,Vivace,Low,Medium,Low,4,Medium,FA Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Moderato,Low,Low,Medium-High,4,High,DO Minor,[5 - 9.99],[0 - 19.99],High,Country
Low,Moderato,Medium-Low,High,Low,3,Medium,SI Major,[5 - 9.99],[0 - 19.99],Medium-Low,Blues
Medium,Moderato,Low,Low,High,4,Low,RE Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium,Moderato,Low,Low,High,4,Low,RE Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium,Andante,Low,Low,High,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],Low,Pop/Rock
Medium-Low,Moderato,Low,High,Low,3,Medium,LA Major,[5 - 9.99],[0 - 19.99],Medium-Low,Pop/Rock
High,Moderato,Low,Low,Low,4,High,SOL Major,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Medium,Vivace,Low,Medium-Low,Medium,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Low,Moderato,Low,High,High,3,Low,RE Major,[5 - 9.99],[20 - 39.99],Low,Jazz
High,Presto,Medium-Low,Low,Low,4,Low,MI Minor,[3 - 4.99],[0 - 19.99],Low,Pop/Rock
Medium-High,Andante,Low,Low,Low,4,Medium,LA Major,[1 - 2.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-Low,Andante,Low,Medium-High,Low,4,Medium,DO Major,[5 - 9.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-High,Andante,Low,Low,Low,4,Medium,SI Minor,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
High,Moderato,Low,Medium,Low,4,Medium,MI Major,[1 - 2.99],[0 - 19.99],High,Pop/Rock
Medium-Low,Andante,Low,High,High,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Low,Pop/Rock
Low,Moderato,Low,High,Low,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],High,Jazz
Low,Andante,Low,High,High,1,Low,DO Major,[3 - 4.99],[20 - 39.99],Low,Pop/Rock
Medium,Vivace,Low,Medium-High,Low,3,Medium,LA Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Low,Andante,Low,High,High,4,Low,SOL Minor,[1 - 2.99],[0 - 19.99],Low,Jazz
Medium-High,Andante,Low,Medium-High,Low,4,Medium,DO Major,[1 - 2.99],[0 - 19.99],Medium-High,Country
Medium-Low,Lento,High,High,Low,3,Medium,SI Major,[1 - 2.99],[20 - 39.99],Medium,Country
High,Andante,Low,Low,Low,4,Medium,FA Minor,[3 - 4.99],[0 - 19.99],Medium-High,Blues
High,Moderato,Low,Low,High,4,Medium,MI Minor,[5 - 9.99],[0 - 19.99],Low,Pop/Rock
Medium-Low,Andante,Low,Medium-High,Low,4,Low,SOL Major,[1 - 2.99],[0 - 19.99],Medium-High,Country
Medium-Low,Moderato,Low,Medium,Low,4,Medium,DO Major,[1 - 2.99],[0 - 19.99],Medium,Pop/Rock
Medium-Low,Andante,Low,High,High,4,Low,FA Major,[5 - 9.99],[0 - 19.99],Low,Blues
Medium-Low,Andante,Low,Medium,Medium-High,4,Medium,FA Major,[3 - 4.99],[0 - 19.99],Medium-Low,R&B
Low,Andante,Low,Medium-High,Low,4,Medium,DO Minor,[3 - 4.99],[0 - 19.99],Medium-Low,Country
Medium-Low,Andante,Low,Medium,High,4,High,SOL Major,[1 - 2.99],[0 - 19.99],High,Country
Low,Moderato,Low,High,Medium-High,4,Medium,DO Major,[5 - 9.99],[0 - 19.99],Medium-Low,Jazz
Medium-Low,Vivace,Low,Medium-High,Medium,4,Medium,RE Major,[1 - 2.99],[0 - 19.99],High,Blues
Medium,Vivace,Low,Medium-Low,Low,4,High,FA Major,[1 - 2.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-Low,Andante,Low,High,Low,3,Medium,DO Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
High,Andante,Low,Medium-Low,Low,4,High,RE Major,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Medium-High,Moderato,Low,Medium-Low,Low,4,Medium,LA Major,[3 - 4.99],[0 - 19.99],Medium-High,Electronic
Medium-High,Moderato,Low,Low,Medium-High,4,High,RE Major,[5 - 9.99],[0 - 19.99],Medium,Electronic
Medium,Moderato,Low,Medium-High,Low,4,High,LA Major,[1 - 2.99],[0 - 19.99],Medium-High,Blues
Medium,Vivace,Low,High,Low,4,Medium,FA Major,[1 - 2.99],[0 - 19.99],High,Jazz
Medium,Andante,Low,Medium-High,Low,4,Medium,RE Major,[1 - 2.99],[0 - 19.99],Medium-Low,Pop/Rock
Low,Andante,Low,Medium-High,Low,4,Medium,DO Minor,[3 - 4.99],[0 - 19.99],Medium-Low,Jazz
High,Presto,Low,Low,Low,4,Medium,RE Major,[1 - 2.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium,Andante,Low,Medium-High,Low,4,Medium,FA Minor,[5 - 9.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Moderato,Low,Low,Low,4,High,SI Minor,[5 - 9.99],[0 - 19.99],High,Blues
Medium,Moderato,Low,High,Medium-High,4,High,FA Minor,[3 - 4.99],[0 - 19.99],High,Blues
Medium-High,Vivace,Low,Medium-Low,Low,4,Medium,SI Major,[1 - 2.99],[0 - 19.99],High,Blues
Medium,Moderato,Low,Low,Low,4,Medium,DO Major,<1,[0 - 19.99],Medium,Rap
Medium-Low,Moderato,Low,High,High,4,High,FA Major,[3 - 4.99],[0 - 19.99],Medium-High,Blues
Medium-Low,Andante,Low,Medium-High,Low,4,Medium,SI Minor,[5 - 9.99],[0 - 19.99],Medium,Blues
Medium-Low,Andante,Low,Medium,Low,4,High,FA Major,[1 - 2.99],[0 - 19.99],Medium,Country
Medium,Moderato,Low,Low,Low,4,Medium,DO Major,[3 - 4.99],[0 - 19.99],Low,Pop/Rock
High,Andante,Low,Low,Medium-Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Medium-Low,Vivace,Low,High,Medium-High,4,Medium,MI Major,[5 - 9.99],[0 - 19.99],Low,Pop/Rock
Medium,Andante,Low,Medium-Low,Low,4,High,RE Minor,[3 - 4.99],[0 - 19.99],Medium-High,Blues
Medium-High,Presto,Low,Medium-High,Low,4,Medium,MI Minor,[3 - 4.99],[0 - 19.99],High,Blues
Medium,Moderato,Low,Low,Low,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-High,Andante,Low,Low,Low,4,High,RE Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium-High,Andante,Low,Medium,Low,4,High,RE Major,[3 - 4.99],[0 - 19.99],Medium-High,R&B
High,Vivace,Low,Low,Low,4,Medium,SI Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
High,Andante,Low,Low,Low,4,Low,SI Minor,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium,Moderato,Low,High,Low,3,Medium,RE Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Low,Moderato,Low,High,High,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
High,Vivace,Medium-Low,Low,Low,4,Medium,SI Minor,[3 - 4.99],[0 - 19.99],Medium-Low,Rap
High,Vivace,Low,Medium-High,Low,4,Low,SI Major,[1 - 2.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Andante,Low,Medium,Low,4,High,RE Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Andante,Low,Low,Low,4,High,SI Minor,[3 - 4.99],[0 - 19.99],High,Rap
Medium,Vivace,Low,Low,Low,4,Medium,SI Minor,[3 - 4.99],[0 - 19.99],Medium,Jazz
Medium,Andante,Low,Low,Low,4,High,FA Minor,[3 - 4.99],[0 - 19.99],Medium,Blues
Medium,Andante,Low,Low,Low,4,High,FA Minor,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
High,Moderato,Low,Low,Low,4,High,SOL Minor,[5 - 9.99],[0 - 19.99],High,Pop/Rock
Low,Moderato,Low,High,Low,4,Medium,SOL Minor,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
High,Moderato,Low,Low,Low,4,Medium,LA Major,[3 - 4.99],[0 - 19.99],Medium-High,Electronic
Medium,Andante,Low,Low,Medium,4,High,SOL Major,[3 - 4.99],[0 - 19.99],Medium-Low,Rap
Medium-High,Moderato,Low,Low,Medium-Low,4,High,SOL Major,[5 - 9.99],[0 - 19.99],Medium-Low,Rap
Medium,Vivace,Low,High,Low,3,Medium,MI Major,[1 - 2.99],[0 - 19.99],Medium-Low,R&B
Medium-High,Moderato,Medium-Low,Low,Medium,4,Medium,DO Major,[5 - 9.99],[0 - 19.99],Medium,Blues
Low,Vivace,Low,High,High,3,Medium,SOL Major,[5 - 9.99],[20 - 39.99],Medium-Low,Jazz
Medium,Andante,Low,Medium-High,Low,4,Medium,LA Major,[1 - 2.99],[0 - 19.99],Medium-High,Country
High,Andante,Low,Medium-Low,Low,4,High,SI Minor,[3 - 4.99],[0 - 19.99],Medium-High,R&B
Medium-Low,Moderato,Low,Medium,Low,4,Medium,DO Minor,[1 - 2.99],[0 - 19.99],Medium,Country
